epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,21184.5,1.03251,0.71843,1.0828,0.57981,0.74624,0.68706,0.49728,0.95286,1.12701,1.06372,5.7824e-05,5.7824e-05,5.7824e-05
42,21612.4,1.01775,0.69664,1.07973,0.65275,0.73093,0.7174,0.51571,0.95914,1.05704,1.06349,5.23196e-05,5.23196e-05,5.23196e-05
43,22032.5,1.00824,0.67684,1.07118,0.63758,0.75056,0.72866,0.52938,0.93856,1.04758,1.06658,4.68152e-05,4.68152e-05,4.68152e-05
44,22453.4,1.00362,0.669,1.07668,0.65555,0.77682,0.76042,0.55023,0.95656,1.03284,1.06946,4.13108e-05,4.13108e-05,4.13108e-05
45,22876.3,0.98808,0.64585,1.06806,0.67334,0.74273,0.75879,0.54979,0.94423,1.02717,1.06849,3.58064e-05,3.58064e-05,3.58064e-05
46,23299,0.99358,0.63961,1.0707,0.59537,0.69119,0.64785,0.46749,0.97656,1.19392,1.0728,3.0302e-05,3.0302e-05,3.0302e-05
47,23719.7,0.98313,0.62947,1.06656,0.67739,0.74103,0.75803,0.54885,0.94901,1.01939,1.07188,2.47976e-05,2.47976e-05,2.47976e-05
48,24147.4,0.9864,0.63639,1.06844,0.63298,0.72224,0.7152,0.51855,0.95125,1.08791,1.07035,1.92932e-05,1.92932e-05,1.92932e-05
49,24571.4,0.98553,0.61974,1.05826,0.64235,0.69575,0.69864,0.50608,0.96036,1.12384,1.07073,1.37888e-05,1.37888e-05,1.37888e-05
50,24991.7,0.97507,0.61628,1.06302,0.65274,0.72746,0.73308,0.53255,0.94584,1.05675,1.06881,8.2844e-06,8.2844e-06,8.2844e-06
